Year,Ec_activ,Value
2015,,99.2
2016,,103.5
2017,,103.1
2018,,102.2
2019,,101.8
2020,,100.3
2021,,105.5
2022,,
2023,,
2024,,
2015,11_1_agricul,103.0
2016,11_1_agricul,106.5
2017,11_1_agricul,97.7
2018,11_1_agricul,105.3
2019,11_1_agricul,98.6
2020,11_1_agricul,98.8
2021,11_1_agricul,116.3
2022,11_1_agricul,
2023,11_1_agricul,
2024,11_1_agricul,
2015,2_indus,96.2
2016,2_indus,104.6
2017,2_indus,100.7
2018,2_indus,102.8
2019,2_indus,97.9
2020,2_indus,100.0
2021,2_indus,103.4
2022,2_indus,
2023,2_indus,
2024,2_indus,
2015,7_constr,94.9
2016,7_constr,114.6
2017,7_constr,125.7
2018,7_constr,105.0
2019,7_constr,117.9
2020,7_constr,110.4
2021,7_constr,102.7
2022,7_constr,
2023,7_constr,
2024,7_constr,
2015,14_motor_veh,95.4
2016,14_motor_veh,104.1
2017,14_motor_veh,102.1
2018,14_motor_veh,101.0
2019,14_motor_veh,99.5
2020,14_motor_veh,109.5
2021,14_motor_veh,101.1
2022,14_motor_veh,
2023,14_motor_veh,
2024,14_motor_veh,
2015,group_label_269,108.8
2016,group_label_269,103.2
2017,group_label_269,104.6
2018,group_label_269,100.9
2019,group_label_269,103.5
2020,group_label_269,86.0
2021,group_label_269,103.2
2022,group_label_269,
2023,group_label_269,
2024,group_label_269,
2015,16_cater,113.9
2016,16_cater,105.8
2017,16_cater,104.4
2018,16_cater,104.6
2019,16_cater,102.1
2020,16_cater,85.6
2021,16_cater,146.2
2022,16_cater,
2023,16_cater,
2024,16_cater,
2015,17_telecom,104.0
2016,17_telecom,105.6
2017,17_telecom,108.8
2018,17_telecom,104.0
2019,17_telecom,103.5
2020,17_telecom,104.8
2021,17_telecom,113.0
2022,17_telecom,
2023,17_telecom,
2024,17_telecom,
2015,18_insurance,92.9
2016,18_insurance,97.8
2017,18_insurance,126.9
2018,18_insurance,109.6
2019,18_insurance,106.7
2020,18_insurance,101.7
2021,18_insurance,112.9
2022,18_insurance,
2023,18_insurance,
2024,18_insurance,
2015,19_estate,110.3
2016,19_estate,107.3
2017,19_estate,103.2
2018,19_estate,105.8
2019,19_estate,106.8
2020,19_estate,104.9
2021,19_estate,101.4
2022,19_estate,
2023,19_estate,
2024,19_estate,
2015,20_scientific,94.0
2016,20_scientific,103.7
2017,20_scientific,108.9
2018,20_scientific,100.6
2019,20_scientific,107.5
2020,20_scientific,88.2
2021,20_scientific,104.0
2022,20_scientific,
2023,20_scientific,
2024,20_scientific,
2015,21_support,109.1
2016,21_support,106.6
2017,21_support,102.8
2018,21_support,102.1
2019,21_support,102.1
2020,21_support,91.6
2021,21_support,98.9
2022,21_support,
2023,21_support,
2024,21_support,
2015,group_label_270,101.0
2016,group_label_270,101.1
2017,group_label_270,93.8
2018,group_label_270,103.6
2019,group_label_270,117.4
2020,group_label_270,97.9
2021,group_label_270,100.6
2022,group_label_270,
2023,group_label_270,
2024,group_label_270,
2015,23_educ,102.8
2016,23_educ,99.2
2017,23_educ,102.4
2018,23_educ,100.4
2019,23_educ,103.4
2020,23_educ,94.9
2021,23_educ,112.8
2022,23_educ,
2023,23_educ,
2024,23_educ,
2015,group_label_271,109.8
2016,group_label_271,97.9
2017,group_label_271,101.5
2018,group_label_271,97.7
2019,group_label_271,106.9
2020,group_label_271,106.7
2021,group_label_271,106.5
2022,group_label_271,
2023,group_label_271,
2024,group_label_271,
2015,25_arts,92.6
2016,25_arts,101.4
2017,25_arts,101.6
2018,25_arts,103.5
2019,25_arts,104.2
2020,25_arts,91.2
2021,25_arts,118.4
2022,25_arts,
2023,25_arts,
2024,25_arts,
2015,26_1_other_serv,110.3
2016,26_1_other_serv,102.9
2017,26_1_other_serv,106.0
2018,26_1_other_serv,103.1
2019,26_1_other_serv,108.6
2020,26_1_other_serv,82.2
2021,26_1_other_serv,107.3
2022,26_1_other_serv,
2023,26_1_other_serv,
2024,26_1_other_serv,
