Year,Age,Sex,Type of residence,Households,Value
2015,,,,,9.1
2016,,,,,7.7
2017,,,,,6.9
2018,,,,,4.5
2019,,,,,4.8
2020,,,,,5.7
2021,,,,,3.9
2022,,,,,
2023,,,,,
2024,,,,,
2015,age_18,,,,12.6
2016,age_18,,,,10.4
2017,age_18,,,,9.2
2018,age_18,,,,6.3
2019,age_18,,,,6.8
2020,age_18,,,,6.7
2021,age_18,,,,5.0
2022,age_18,,,,
2023,age_18,,,,
2024,age_18,,,,
2015,age_18_34,,,,9.8
2016,age_18_34,,,,7.8
2017,age_18_34,,,,7.1
2018,age_18_34,,,,5.5
2019,age_18_34,,,,4.3
2020,age_18_34,,,,11.2
2021,age_18_34,,,,3.5
2022,age_18_34,,,,
2023,age_18_34,,,,
2024,age_18_34,,,,
2015,age_35_59,,,,7.7
2016,age_35_59,,,,6.8
2017,age_35_59,,,,6.0
2018,age_35_59,,,,3.8
2019,age_35_59,,,,4.4
2020,age_35_59,,,,7.6
2021,age_35_59,,,,3.8
2022,age_35_59,,,,
2023,age_35_59,,,,
2024,age_35_59,,,,
2015,age_60,,,,7.2
2016,age_60,,,,6.6
2017,age_60,,,,5.8
2018,age_60,,,,2.7
2019,age_60,,,,4.1
2020,age_60,,,,5.6
2021,age_60,,,,3.8
2022,age_60,,,,
2023,age_60,,,,
2024,age_60,,,,
2015,,females,,,9.1
2016,,females,,,7.4
2017,,females,,,6.8
2018,,females,,,4.3
2019,,females,,,4.6
2020,,females,,,6.2
2021,,females,,,3.9
2022,,females,,,
2023,,females,,,
2024,,females,,,
2015,,males,,,9.1
2016,,males,,,8.0
2017,,males,,,7.0
2018,,males,,,4.6
2019,,males,,,4.9
2020,,males,,,5.2
2021,,males,,,3.9
2022,,males,,,
2023,,males,,,
2024,,males,,,
2015,,,urban,,7.1
2016,,,urban,,5.8
2017,,,urban,,5.0
2018,,,urban,,3.0
2019,,,urban,,3.9
2020,,,urban,,5.0
2021,,,urban,,3.4
2022,,,urban,,
2023,,,urban,,
2024,,,urban,,
2015,,,rural,,13.0
2016,,,rural,,11.4
2017,,,rural,,10.5
2018,,,rural,,7.3
2019,,,rural,,6.5
2020,,,rural,,7.2
2021,,,rural,,5.0
2022,,,rural,,
2023,,,rural,,
2024,,,rural,,
2015,,,,hh_ch,12.5
2016,,,,hh_ch,9.8
2017,,,,hh_ch,8.8
2018,,,,hh_ch,5.7
2019,,,,hh_ch,6.2
2020,,,,hh_ch,6.9
2021,,,,hh_ch,4.8
2022,,,,hh_ch,
2023,,,,hh_ch,
2024,,,,hh_ch,
2015,,,,hh_ch_0,5.1
2016,,,,hh_ch_0,5.2
2017,,,,hh_ch_0,4.6
2018,,,,hh_ch_0,3.1
2019,,,,hh_ch_0,3.0
2020,,,,hh_ch_0,4.3
2021,,,,hh_ch_0,3.0
2022,,,,hh_ch_0,
2023,,,,hh_ch_0,
2024,,,,hh_ch_0,
