Year,By form of discrimination,By spheres of public relations,Sex,Type of residence,Value
2015,,,,,0.57
2016,,,,,0.47
2017,,,,,2.08
2018,,,,,1.8
2019,,,,,1.28
2020,,,,,1.01
2021,,,,,0.9
2022,,,,,0.73
2023,,,,,0.49
2024,,,,,1.04
2015,direct_discrimination,,,,
2016,direct_discrimination,,,,
2017,direct_discrimination,,,,
2018,direct_discrimination,,,,
2019,direct_discrimination,,,,
2020,direct_discrimination,,,,
2021,direct_discrimination,,,,
2022,direct_discrimination,,,,
2023,direct_discrimination,,,,5.0
2024,direct_discrimination,,,,2.0
2015,indirect_discrimination,,,,
2016,indirect_discrimination,,,,
2017,indirect_discrimination,,,,
2018,indirect_discrimination,,,,
2019,indirect_discrimination,,,,
2020,indirect_discrimination,,,,
2021,indirect_discrimination,,,,
2022,indirect_discrimination,,,,
2023,indirect_discrimination,,,,1.0
2024,indirect_discrimination,,,,
2015,incitement_to_discrimination,,,,
2016,incitement_to_discrimination,,,,
2017,incitement_to_discrimination,,,,
2018,incitement_to_discrimination,,,,
2019,incitement_to_discrimination,,,,
2020,incitement_to_discrimination,,,,
2021,incitement_to_discrimination,,,,
2022,incitement_to_discrimination,,,,
2023,incitement_to_discrimination,,,,
2024,incitement_to_discrimination,,,,1.0
2015,complicity_in_discrimination,,,,
2016,complicity_in_discrimination,,,,
2017,complicity_in_discrimination,,,,
2018,complicity_in_discrimination,,,,
2019,complicity_in_discrimination,,,,
2020,complicity_in_discrimination,,,,
2021,complicity_in_discrimination,,,,
2022,complicity_in_discrimination,,,,
2023,complicity_in_discrimination,,,,
2024,complicity_in_discrimination,,,,
2015,oppression,,,,
2016,oppression,,,,
2017,oppression,,,,
2018,oppression,,,,
2019,oppression,,,,
2020,oppression,,,,
2021,oppression,,,,
2022,oppression,,,,
2023,oppression,,,,26.0
2024,oppression,,,,8.0
2015,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2016,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2017,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2018,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2019,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2020,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2021,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2022,,freedom_from_discrimination_in_the_field_of_social_protection,,,
2023,,freedom_from_discrimination_in_the_field_of_social_protection,,,8.0
2024,,freedom_from_discrimination_in_the_field_of_social_protection,,,26.0
2015,,freedom_from_discrimination_in_the_field_of_education,,,
2016,,freedom_from_discrimination_in_the_field_of_education,,,
