Year,Region,Age,Gender,group_14,group_15,Value
2015,Ukraine,,,,,
2016,Ukraine,,,,,
2017,Ukraine,,,,,
2018,Ukraine,,,,,
2019,Ukraine,,,,,
2020,Ukraine,,,,,
2021,Ukraine,,,,,93.2
2022,Ukraine,,,,,87.7
2023,Ukraine,,,,,96.1
2024,Ukraine,,,,,94.8
2015,autonomous_Republic_of_Crimea,,,,,
2016,autonomous_Republic_of_Crimea,,,,,
2017,autonomous_Republic_of_Crimea,,,,,
2018,autonomous_Republic_of_Crimea,,,,,
2019,autonomous_Republic_of_Crimea,,,,,
2020,autonomous_Republic_of_Crimea,,,,,
2021,autonomous_Republic_of_Crimea,,,,,
2022,autonomous_Republic_of_Crimea,,,,,
2023,autonomous_Republic_of_Crimea,,,,,
2024,autonomous_Republic_of_Crimea,,,,,
2015,11_reg_Vinnytsya,,,,,
2016,11_reg_Vinnytsya,,,,,
2017,11_reg_Vinnytsya,,,,,
2018,11_reg_Vinnytsya,,,,,
2019,11_reg_Vinnytsya,,,,,
2020,11_reg_Vinnytsya,,,,,
2021,11_reg_Vinnytsya,,,,,94.5
2022,11_reg_Vinnytsya,,,,,76.1
2023,11_reg_Vinnytsya,,,,,96.8
2024,11_reg_Vinnytsya,,,,,93.9
2015,12_reg_Volyn,,,,,
2016,12_reg_Volyn,,,,,
2017,12_reg_Volyn,,,,,
2018,12_reg_Volyn,,,,,
2019,12_reg_Volyn,,,,,
2020,12_reg_Volyn,,,,,
2021,12_reg_Volyn,,,,,94.6
2022,12_reg_Volyn,,,,,90.6
2023,12_reg_Volyn,,,,,94.5
2024,12_reg_Volyn,,,,,94.8
2015,13_reg_Dnipropetrovsk,,,,,
2016,13_reg_Dnipropetrovsk,,,,,
2017,13_reg_Dnipropetrovsk,,,,,
2018,13_reg_Dnipropetrovsk,,,,,
2019,13_reg_Dnipropetrovsk,,,,,
2020,13_reg_Dnipropetrovsk,,,,,
2021,13_reg_Dnipropetrovsk,,,,,93.6
2022,13_reg_Dnipropetrovsk,,,,,85.9
2023,13_reg_Dnipropetrovsk,,,,,90.7
2024,13_reg_Dnipropetrovsk,,,,,88.7
2015,14_reg_Donetsk,,,,,
2016,14_reg_Donetsk,,,,,
2017,14_reg_Donetsk,,,,,
2018,14_reg_Donetsk,,,,,
2019,14_reg_Donetsk,,,,,
2020,14_reg_Donetsk,,,,,
2021,14_reg_Donetsk,,,,,95.8
2022,14_reg_Donetsk,,,,,
2023,14_reg_Donetsk,,,,,
2024,14_reg_Donetsk,,,,,
2015,15_reg_Zhytomyr,,,,,
2016,15_reg_Zhytomyr,,,,,
2017,15_reg_Zhytomyr,,,,,
2018,15_reg_Zhytomyr,,,,,
2019,15_reg_Zhytomyr,,,,,
2020,15_reg_Zhytomyr,,,,,
2021,15_reg_Zhytomyr,,,,,92.8
2022,15_reg_Zhytomyr,,,,,64.8
2023,15_reg_Zhytomyr,,,,,92.3
2024,15_reg_Zhytomyr,,,,,88.1
2015,16_reg_Zakarpattya,,,,,
2016,16_reg_Zakarpattya,,,,,
2017,16_reg_Zakarpattya,,,,,
2018,16_reg_Zakarpattya,,,,,
2019,16_reg_Zakarpattya,,,,,
2020,16_reg_Zakarpattya,,,,,
2021,16_reg_Zakarpattya,,,,,95.1
2022,16_reg_Zakarpattya,,,,,72.3
2023,16_reg_Zakarpattya,,,,,92.4
2024,16_reg_Zakarpattya,,,,,93.0
2015,17_reg_Zaporizhzhya,,,,,
2016,17_reg_Zaporizhzhya,,,,,
2017,17_reg_Zaporizhzhya,,,,,
2018,17_reg_Zaporizhzhya,,,,,
2019,17_reg_Zaporizhzhya,,,,,
2020,17_reg_Zaporizhzhya,,,,,
2021,17_reg_Zaporizhzhya,,,,,93.4
2022,17_reg_Zaporizhzhya,,,,,
2023,17_reg_Zaporizhzhya,,,,,94.6
2024,17_reg_Zaporizhzhya,,,,,87.9
2015,18_reg_Ivano-Frankivsk,,,,,
2016,18_reg_Ivano-Frankivsk,,,,,
2017,18_reg_Ivano-Frankivsk,,,,,
2018,18_reg_Ivano-Frankivsk,,,,,
2019,18_reg_Ivano-Frankivsk,,,,,
2020,18_reg_Ivano-Frankivsk,,,,,
2021,18_reg_Ivano-Frankivsk,,,,,95.3
2022,18_reg_Ivano-Frankivsk,,,,,96.3
2023,18_reg_Ivano-Frankivsk,,,,,99.2
2024,18_reg_Ivano-Frankivsk,,,,,97.8
2015,19_reg_Kyiv,,,,,
2016,19_reg_Kyiv,,,,,
2017,19_reg_Kyiv,,,,,
2018,19_reg_Kyiv,,,,,
2019,19_reg_Kyiv,,,,,
2020,19_reg_Kyiv,,,,,
2021,19_reg_Kyiv,,,,,92.1
2022,19_reg_Kyiv,,,,,76.2
2023,19_reg_Kyiv,,,,,92.4
2024,19_reg_Kyiv,,,,,88.6
2015,20_reg_Kirovohrad,,,,,
2016,20_reg_Kirovohrad,,,,,
2017,20_reg_Kirovohrad,,,,,
2018,20_reg_Kirovohrad,,,,,
2019,20_reg_Kirovohrad,,,,,
2020,20_reg_Kirovohrad,,,,,
2021,20_reg_Kirovohrad,,,,,89.5
2022,20_reg_Kirovohrad,,,,,78.5
2023,20_reg_Kirovohrad,,,,,89.3
2024,20_reg_Kirovohrad,,,,,88.5
2015,21_reg_Luhansk,,,,,
2016,21_reg_Luhansk,,,,,
2017,21_reg_Luhansk,,,,,
2018,21_reg_Luhansk,,,,,
2019,21_reg_Luhansk,,,,,
2020,21_reg_Luhansk,,,,,
2021,21_reg_Luhansk,,,,,91.4
2022,21_reg_Luhansk,,,,,
2023,21_reg_Luhansk,,,,,
2024,21_reg_Luhansk,,,,,
2015,22_reg_Lviv,,,,,
2016,22_reg_Lviv,,,,,
2017,22_reg_Lviv,,,,,
2018,22_reg_Lviv,,,,,
2019,22_reg_Lviv,,,,,
2020,22_reg_Lviv,,,,,
2021,22_reg_Lviv,,,,,94.3
2022,22_reg_Lviv,,,,,84.2
2023,22_reg_Lviv,,,,,97.6
2024,22_reg_Lviv,,,,,97.3
2015,23_reg_Mykolayiv,,,,,
2016,23_reg_Mykolayiv,,,,,
2017,23_reg_Mykolayiv,,,,,
2018,23_reg_Mykolayiv,,,,,
2019,23_reg_Mykolayiv,,,,,
2020,23_reg_Mykolayiv,,,,,
2021,23_reg_Mykolayiv,,,,,96.7
2022,23_reg_Mykolayiv,,,,,89.7
2023,23_reg_Mykolayiv,,,,,91.5
2024,23_reg_Mykolayiv,,,,,87.5
2015,24_reg_Odesa,,,,,
2016,24_reg_Odesa,,,,,
2017,24_reg_Odesa,,,,,
2018,24_reg_Odesa,,,,,
2019,24_reg_Odesa,,,,,
2020,24_reg_Odesa,,,,,
2021,24_reg_Odesa,,,,,92.2
2022,24_reg_Odesa,,,,,88.2
2023,24_reg_Odesa,,,,,96.0
2024,24_reg_Odesa,,,,,96.7
2015,25_reg_Poltava,,,,,
2016,25_reg_Poltava,,,,,
2017,25_reg_Poltava,,,,,
2018,25_reg_Poltava,,,,,
2019,25_reg_Poltava,,,,,
2020,25_reg_Poltava,,,,,
2021,25_reg_Poltava,,,,,94.8
2022,25_reg_Poltava,,,,,82.2
2023,25_reg_Poltava,,,,,90.0
2024,25_reg_Poltava,,,,,90.4
2015,26_reg_Rivne,,,,,
2016,26_reg_Rivne,,,,,
2017,26_reg_Rivne,,,,,
2018,26_reg_Rivne,,,,,
2019,26_reg_Rivne,,,,,
2020,26_reg_Rivne,,,,,
2021,26_reg_Rivne,,,,,90.8
2022,26_reg_Rivne,,,,,80.0
2023,26_reg_Rivne,,,,,96.9
2024,26_reg_Rivne,,,,,93.8
2015,27_reg_Sumy,,,,,
2016,27_reg_Sumy,,,,,
2017,27_reg_Sumy,,,,,
2018,27_reg_Sumy,,,,,
2019,27_reg_Sumy,,,,,
2020,27_reg_Sumy,,,,,
2021,27_reg_Sumy,,,,,94.5
2022,27_reg_Sumy,,,,,89.1
2023,27_reg_Sumy,,,,,97.1
2024,27_reg_Sumy,,,,,97.0
2015,28_reg_Ternopil,,,,,
2016,28_reg_Ternopil,,,,,
2017,28_reg_Ternopil,,,,,
2018,28_reg_Ternopil,,,,,
2019,28_reg_Ternopil,,,,,
2020,28_reg_Ternopil,,,,,
2021,28_reg_Ternopil,,,,,97.0
2022,28_reg_Ternopil,,,,,88.0
2023,28_reg_Ternopil,,,,,95.7
2024,28_reg_Ternopil,,,,,95.0
2015,29_reg_Kharkiv,,,,,
2016,29_reg_Kharkiv,,,,,
2017,29_reg_Kharkiv,,,,,
2018,29_reg_Kharkiv,,,,,
2019,29_reg_Kharkiv,,,,,
2020,29_reg_Kharkiv,,,,,
2021,29_reg_Kharkiv,,,,,90.9
2022,29_reg_Kharkiv,,,,,88.0
2023,29_reg_Kharkiv,,,,,85.5
2024,29_reg_Kharkiv,,,,,89.2
2015,30_reg_Kherson,,,,,
2016,30_reg_Kherson,,,,,
2017,30_reg_Kherson,,,,,
2018,30_reg_Kherson,,,,,
2019,30_reg_Kherson,,,,,
2020,30_reg_Kherson,,,,,
2021,30_reg_Kherson,,,,,95.1
2022,30_reg_Kherson,,,,,
2023,30_reg_Kherson,,,,,
2024,30_reg_Kherson,,,,,
2015,31_reg_Khmelnytskiy,,,,,
2016,31_reg_Khmelnytskiy,,,,,
2017,31_reg_Khmelnytskiy,,,,,
2018,31_reg_Khmelnytskiy,,,,,
2019,31_reg_Khmelnytskiy,,,,,
2020,31_reg_Khmelnytskiy,,,,,
2021,31_reg_Khmelnytskiy,,,,,92.3
2022,31_reg_Khmelnytskiy,,,,,71.0
2023,31_reg_Khmelnytskiy,,,,,93.9
2024,31_reg_Khmelnytskiy,,,,,88.8
2015,32_reg_Cherkasy,,,,,
2016,32_reg_Cherkasy,,,,,
2017,32_reg_Cherkasy,,,,,
2018,32_reg_Cherkasy,,,,,
2019,32_reg_Cherkasy,,,,,
2020,32_reg_Cherkasy,,,,,
2021,32_reg_Cherkasy,,,,,92.9
2022,32_reg_Cherkasy,,,,,91.9
2023,32_reg_Cherkasy,,,,,98.8
2024,32_reg_Cherkasy,,,,,97.8
2015,33_reg_Chernivtsi,,,,,
2016,33_reg_Chernivtsi,,,,,
2017,33_reg_Chernivtsi,,,,,
2018,33_reg_Chernivtsi,,,,,
2019,33_reg_Chernivtsi,,,,,
2020,33_reg_Chernivtsi,,,,,
2021,33_reg_Chernivtsi,,,,,94.5
2022,33_reg_Chernivtsi,,,,,73.2
2023,33_reg_Chernivtsi,,,,,84.4
2024,33_reg_Chernivtsi,,,,,86.5
2015,34_reg_Chernihiv,,,,,
2016,34_reg_Chernihiv,,,,,
2017,34_reg_Chernihiv,,,,,
2018,34_reg_Chernihiv,,,,,
2019,34_reg_Chernihiv,,,,,
2020,34_reg_Chernihiv,,,,,
2021,34_reg_Chernihiv,,,,,96.1
2022,34_reg_Chernihiv,,,,,97.8
2023,34_reg_Chernihiv,,,,,98.1
2024,34_reg_Chernihiv,,,,,99.2
2015,35_reg_Kyiv_city,,,,,
2016,35_reg_Kyiv_city,,,,,
2017,35_reg_Kyiv_city,,,,,
2018,35_reg_Kyiv_city,,,,,
2019,35_reg_Kyiv_city,,,,,
2020,35_reg_Kyiv_city,,,,,
2021,35_reg_Kyiv_city,,,,,85.3
2022,35_reg_Kyiv_city,,,,,65.1
2023,35_reg_Kyiv_city,,,,,77.2
2024,35_reg_Kyiv_city,,,,,61.5
2015,city_Sevastopol,,,,,
2016,city_Sevastopol,,,,,
2017,city_Sevastopol,,,,,
2018,city_Sevastopol,,,,,
2019,city_Sevastopol,,,,,
2020,city_Sevastopol,,,,,
2021,city_Sevastopol,,,,,
2022,city_Sevastopol,,,,,
2023,city_Sevastopol,,,,,
2024,city_Sevastopol,,,,,
2015,,group_label_168,,,,
2016,,group_label_168,,,,
2017,,group_label_168,,,,
2018,,group_label_168,,,,
2019,,group_label_168,,,,
2020,,group_label_168,,,,
2021,,group_label_168,,,,95.9
2022,,group_label_168,,,,89.0
2023,,group_label_168,,,,89.0
2024,,group_label_168,,,,94.9
2015,,group_label_169,,,,
