Year,Region,Value
,5.5,
,5.7,
,5.1,
,5.0,
,4.2,
,3.6,
,2.9,
,2.2,
,1.9,
,1.8,
11_reg_Vinnytsya,6.6,
11_reg_Vinnytsya,6.6,
11_reg_Vinnytsya,6.3,
11_reg_Vinnytsya,6.2,
11_reg_Vinnytsya,5.2,
11_reg_Vinnytsya,4.1,
11_reg_Vinnytsya,3.6,
11_reg_Vinnytsya,3.9,
11_reg_Vinnytsya,3.5,
11_reg_Vinnytsya,4.2,
12_reg_Volyn,6.8,
12_reg_Volyn,7.9,
12_reg_Volyn,5.8,
12_reg_Volyn,6.0,
12_reg_Volyn,4.9,
12_reg_Volyn,3.6,
12_reg_Volyn,3.0,
12_reg_Volyn,1.9,
12_reg_Volyn,1.9,
12_reg_Volyn,1.7,
13_reg_Dnipropetrovsk,7.7,
13_reg_Dnipropetrovsk,5.7,
13_reg_Dnipropetrovsk,5.4,
13_reg_Dnipropetrovsk,5.3,
13_reg_Dnipropetrovsk,5.0,
13_reg_Dnipropetrovsk,4.1,
13_reg_Dnipropetrovsk,3.5,
13_reg_Dnipropetrovsk,3.2,
13_reg_Dnipropetrovsk,3.2,
13_reg_Dnipropetrovsk,3.2,
14_reg_Donetsk,2.4,
14_reg_Donetsk,2.6,
14_reg_Donetsk,2.6,
14_reg_Donetsk,2.9,
14_reg_Donetsk,0.8,
14_reg_Donetsk,1.6,
14_reg_Donetsk,1.0,
14_reg_Donetsk,0.0,
14_reg_Donetsk,0.0,
14_reg_Donetsk,0.0,
19_reg_Kyiv,8.7,
19_reg_Kyiv,9.1,
19_reg_Kyiv,7.9,
19_reg_Kyiv,8.0,
19_reg_Kyiv,8.2,
19_reg_Kyiv,6.8,
19_reg_Kyiv,6.5,
19_reg_Kyiv,5.0,
19_reg_Kyiv,6.3,
19_reg_Kyiv,6.0,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
35_reg_Kyiv_city,,
