Year,Sex,Age,Type of residence,Region,Value
2015,,,,,77.69
2015,girls,,,,77.91
2015,boys,,,,75.76
2015,,aged_6,,,58.43
2015,,aged_7,,,91.54
2015,,aged_8,,,92.4
2015,,aged_9,,,91.46
2015,,aged_10,,,91.32
2015,,aged_11,,,92.83
2015,,aged_12,,,92.65
2015,,aged_13,,,93.87
2015,,aged_14,,,93.15
2015,,aged_15,,,68.44
2015,,aged_16,,,55.42
2015,,aged_17,,,17.23
2015,,,urban,,79.26
2015,,,rural,,72.2
2015,,,,autonomous_Republic_of_Crimea,
2015,,,,11_reg_Vinnytsya,80.76
2015,,,,12_reg_Volyn,83.63
2015,,,,13_reg_Dnipropetrovsk,85.1
2015,,,,14_reg_Donetsk,37.95
2015,,,,15_reg_Zhytomyr,83.21
2015,,,,16_reg_Zakarpattya,85.17
2015,,,,17_reg_Zaporizhzhya,85.52
2015,,,,18_reg_Ivano-Frankivsk,81.27
2015,,,,19_reg_Kyiv,92.53
2015,,,,20_reg_Kirovohrad,83.53
2015,,,,21_reg_Luhansk,27.85
2015,,,,22_reg_Lviv,82.77
2015,,,,23_reg_Mykolayiv,82.26
2015,,,,24_reg_Odesa,85.65
2015,,,,25_reg_Poltava,84.5
2015,,,,26_reg_Rivne,83.85
2015,,,,27_reg_Sumy,81.89
2015,,,,28_reg_Ternopil,80.55
2015,,,,29_reg_Kharkiv,85.14
2015,,,,30_reg_Kherson,84.4
2015,,,,31_reg_Khmelnytskiy,83.31
2015,,,,32_reg_Cherkasy,82.95
2015,,,,33_reg_Chernivtsi,82.16
2015,,,,34_reg_Chernihiv,85.51
2015,,,,Kyiv_city,84.83
2015,,,,city_Sevastopol,
2016,,,,,77.21
2016,girls,,,,77.42
2016,boys,,,,75.29
2016,,aged_6,,,58.68
2016,,aged_7,,,89.03
2016,,aged_8,,,91.61
2016,,aged_9,,,91.23
2016,,aged_10,,,90.2
2016,,aged_11,,,90.25
2016,,aged_12,,,91.68
2016,,aged_13,,,91.81
2016,,aged_14,,,92.0
2016,,aged_15,,,67.89
2016,,aged_16,,,54.02
2016,,aged_17,,,16.53
2016,,,urban,,78.95
2016,,,rural,,71.28
2016,,,,autonomous_Republic_of_Crimea,
2016,,,,11_reg_Vinnytsya,81.01
2016,,,,12_reg_Volyn,83.97
2016,,,,13_reg_Dnipropetrovsk,84.82
2016,,,,14_reg_Donetsk,35.2
2016,,,,15_reg_Zhytomyr,83.18
2016,,,,16_reg_Zakarpattya,85.12
2016,,,,17_reg_Zaporizhzhya,84.28
2016,,,,18_reg_Ivano-Frankivsk,81.41
2016,,,,19_reg_Kyiv,93.35
2016,,,,20_reg_Kirovohrad,83.2
2016,,,,21_reg_Luhansk,24.09
2016,,,,22_reg_Lviv,83.45
2016,,,,23_reg_Mykolayiv,81.98
2016,,,,24_reg_Odesa,85.11
2016,,,,25_reg_Poltava,84.24
2016,,,,26_reg_Rivne,84.19
2016,,,,27_reg_Sumy,81.9
2016,,,,28_reg_Ternopil,80.04
2016,,,,29_reg_Kharkiv,84.39
2016,,,,30_reg_Kherson,83.3
2016,,,,31_reg_Khmelnytskiy,83.39
2016,,,,32_reg_Cherkasy,83.39
2016,,,,33_reg_Chernivtsi,82.38
2016,,,,34_reg_Chernihiv,85.69
2016,,,,Kyiv_city,85.01
2016,,,,city_Sevastopol,
2017,,,,,77.39
2017,girls,,,,77.65
2017,boys,,,,75.41
2017,,aged_6,,,58.08
2017,,aged_7,,,89.2
2017,,aged_8,,,90.16
2017,,aged_9,,,91.25
2017,,aged_10,,,90.77
2017,,aged_11,,,89.74
2017,,aged_12,,,90.08
2017,,aged_13,,,91.48
2017,,aged_14,,,90.72
2017,,aged_15,,,66.36
2017,,aged_16,,,53.75
2017,,aged_17,,,16.12
2017,,,urban,,79.94
2017,,,rural,,69.82
2017,,,,autonomous_Republic_of_Crimea,
2017,,,,11_reg_Vinnytsya,81.61
2017,,,,12_reg_Volyn,84.1
2017,,,,13_reg_Dnipropetrovsk,84.65
2017,,,,14_reg_Donetsk,35.29
2017,,,,15_reg_Zhytomyr,83.21
2017,,,,16_reg_Zakarpattya,84.84
2017,,,,17_reg_Zaporizhzhya,83.91
2017,,,,18_reg_Ivano-Frankivsk,81.87
2017,,,,19_reg_Kyiv,93.72
2017,,,,20_reg_Kirovohrad,82.48
2017,,,,21_reg_Luhansk,24.04
2017,,,,22_reg_Lviv,84.12
2017,,,,23_reg_Mykolayiv,81.74
2017,,,,24_reg_Odesa,85.15
2017,,,,25_reg_Poltava,84.34
2017,,,,26_reg_Rivne,84.7
2017,,,,27_reg_Sumy,81.94
2017,,,,28_reg_Ternopil,80.48
2017,,,,29_reg_Kharkiv,85.26
2017,,,,30_reg_Kherson,82.6
2017,,,,31_reg_Khmelnytskiy,83.15
2017,,,,32_reg_Cherkasy,83.45
2017,,,,33_reg_Chernivtsi,83.22
2017,,,,34_reg_Chernihiv,85.44
2017,,,,Kyiv_city,85.83
2017,,,,city_Sevastopol,
2018,,,,,77.37
2018,girls,,,,77.7
2018,boys,,,,75.35
2018,,aged_6,,,57.94
2018,,aged_7,,,89.28
2018,,aged_8,,,90.31
2018,,aged_9,,,90.15
2018,,aged_10,,,90.6
2018,,aged_11,,,90.51
2018,,aged_12,,,89.84
2018,,aged_13,,,89.58
2018,,aged_14,,,90.67
2018,,aged_15,,,65.64
2018,,aged_16,,,53.07
2018,,aged_17,,,15.77
2018,,,urban,,80.31
2018,,,rural,,68.96
2018,,,,autonomous_Republic_of_Crimea,
2018,,,,11_reg_Vinnytsya,82.13
2018,,,,12_reg_Volyn,84.43
2018,,,,13_reg_Dnipropetrovsk,84.0
2018,,,,14_reg_Donetsk,35.76
2018,,,,15_reg_Zhytomyr,82.88
2018,,,,16_reg_Zakarpattya,83.79
2018,,,,17_reg_Zaporizhzhya,83.25
2018,,,,18_reg_Ivano-Frankivsk,81.7
2018,,,,19_reg_Kyiv,93.51
2018,,,,20_reg_Kirovohrad,82.42
2018,,,,21_reg_Luhansk,24.03
2018,,,,22_reg_Lviv,84.56
2018,,,,23_reg_Mykolayiv,81.81
2018,,,,24_reg_Odesa,84.87
2018,,,,25_reg_Poltava,84.52
2018,,,,26_reg_Rivne,84.86
2018,,,,27_reg_Sumy,82.3
