Year,group_31,Sex,group_28,Value
2015,group_31,,,
2016,group_31,,,
2017,group_31,,,
2018,group_31,,,
2019,group_31,,,
2020,group_31,,,
2021,group_31,,,
2022,group_31,,,
2023,group_31,,,
2024,group_31,,,
2015,,,,304.1
2016,,,,285.8
2017,,,,269.4
2018,,,,255.0
2019,,,,245.8
2020,,,,240.7
2021,,,,243.8
2022,,,,230.5
2023,,,,225.2
2024,,,,214.4
2015,,females_1,,117.0
2016,,females_1,,110.6
2017,,females_1,,103.7
2018,,females_1,,97.0
2019,,females_1,,92.7
2020,,females_1,,92.0
2021,,females_1,,93.5
2022,,females_1,,85.3
2023,,females_1,,82.2
2024,,females_1,,80.7
2015,,males_1,,187.1
2016,,males_1,,175.2
2017,,males_1,,165.7
2018,,males_1,,158.0
2019,,males_1,,153.1
2020,,males_1,,148.7
2021,,males_1,,150.3
2022,,males_1,,145.2
2023,,males_1,,143.0
2024,,males_1,,133.7
2015,,,age_14_30,299.1
2016,,,age_14_30,280.4
2017,,,age_14_30,262.1
2018,,,age_14_30,245.4
2019,,,age_14_30,235.2
2020,,,age_14_30,229.7
2021,,,age_14_30,232.3
2022,,,age_14_30,218.1
2023,,,age_14_30,208.2
2024,,,age_14_30,195.3
2015,,,age_30_plus,5.0
2016,,,age_30_plus,5.4
2017,,,age_30_plus,7.3
2018,,,age_30_plus,9.6
2019,,,age_30_plus,10.6
2020,,,age_30_plus,11.0
2021,,,age_30_plus,11.5
2022,,,age_30_plus,12.4
2023,,,age_30_plus,17.0
2024,,,age_30_plus,19.1
