Year,Gender,Type of residence,Unit,Value
2015,,,Percentage,
2016,,,Percentage,
2017,,,Percentage,
2018,,,Percentage,
2019,,,Percentage,
2020,,,Percentage,212.0
2021,,,Percentage,
2022,,,Percentage,
2023,,,Percentage,
2015,females_a,,min_day,
2016,females_a,,min_day,
2017,females_a,,min_day,
2018,females_a,,min_day,
2019,females_a,,min_day,
2020,females_a,,min_day,274.0
2021,females_a,,min_day,
2022,females_a,,min_day,
2023,females_a,,min_day,
2015,males_a,,min_day,
2016,males_a,,min_day,
2017,males_a,,min_day,
2018,males_a,,min_day,
2019,males_a,,min_day,
2020,males_a,,min_day,129.0
2021,males_a,,min_day,
2022,males_a,,min_day,
2023,males_a,,min_day,
2015,,urban_a,Percentage,
2016,,urban_a,Percentage,
2017,,urban_a,Percentage,
2018,,urban_a,Percentage,
2019,,urban_a,Percentage,
2020,,urban_a,Percentage,207.0
2021,,urban_a,Percentage,
2022,,urban_a,Percentage,
2023,,urban_a,Percentage,
2015,females_a,urban_a,min_day,
2016,females_a,urban_a,min_day,
2017,females_a,urban_a,min_day,
2018,females_a,urban_a,min_day,
2019,females_a,urban_a,min_day,
2020,females_a,urban_a,min_day,257.0
2021,females_a,urban_a,min_day,
2022,females_a,urban_a,min_day,
2023,females_a,urban_a,min_day,
2015,males_a,urban_a,min_day,
2016,males_a,urban_a,min_day,
2017,males_a,urban_a,min_day,
2018,males_a,urban_a,min_day,
2019,males_a,urban_a,min_day,
2020,males_a,urban_a,min_day,124.0
2021,males_a,urban_a,min_day,
2022,males_a,urban_a,min_day,
2023,males_a,urban_a,min_day,
2015,,rural_a,Percentage,
2016,,rural_a,Percentage,
2017,,rural_a,Percentage,
2018,,rural_a,Percentage,
2019,,rural_a,Percentage,
2020,,rural_a,Percentage,256.0
2021,,rural_a,Percentage,
2022,,rural_a,Percentage,
2023,,rural_a,Percentage,
2015,females_a,rural_a,min_day,
2016,females_a,rural_a,min_day,
2017,females_a,rural_a,min_day,
2018,females_a,rural_a,min_day,
2019,females_a,rural_a,min_day,
2020,females_a,rural_a,min_day,382.0
2021,females_a,rural_a,min_day,
2022,females_a,rural_a,min_day,
2023,females_a,rural_a,min_day,
2015,males_a,rural_a,min_day,
2016,males_a,rural_a,min_day,
2017,males_a,rural_a,min_day,
2018,males_a,rural_a,min_day,
2019,males_a,rural_a,min_day,
2020,males_a,rural_a,min_day,149.0
2021,males_a,rural_a,min_day,
2022,males_a,rural_a,min_day,
2023,males_a,rural_a,min_day,
