Year,Type of economic activity,By river basins,Region,Value
2015,,,,875.1
2016,,,,698.3
2017,,,,997.3
2018,,,,952.0
2019,,,,737.2
2020,,,,518.351
2021,,,,543.093
2022,,,,374.027
2023,,,,375.647
2024,,,,328.621
2015,,,Ukraine,875.1
2016,,,Ukraine,698.3
2017,,,Ukraine,997.3
2018,,,Ukraine,952.0
2019,,,Ukraine,737.2
2020,,,Ukraine,518.351
2021,,,Ukraine,543.093
2022,,,Ukraine,374.027
2023,,,Ukraine,375.647
2024,,,Ukraine,328.621
2015,,,autonomous_Republic_of_Crimea,
2016,,,autonomous_Republic_of_Crimea,
2017,,,autonomous_Republic_of_Crimea,
2018,,,autonomous_Republic_of_Crimea,
2019,,,autonomous_Republic_of_Crimea,
2020,,,autonomous_Republic_of_Crimea,
2021,,,autonomous_Republic_of_Crimea,
2022,,,autonomous_Republic_of_Crimea,
2023,,,autonomous_Republic_of_Crimea,
2024,,,autonomous_Republic_of_Crimea,
2015,,,11_reg_Vinnytsya,0.617
2016,,,11_reg_Vinnytsya,0.046
2017,,,11_reg_Vinnytsya,0.833
2018,,,11_reg_Vinnytsya,0.988
2019,,,11_reg_Vinnytsya,0.672
2020,,,11_reg_Vinnytsya,0.133
2021,,,11_reg_Vinnytsya,0.814
2022,,,11_reg_Vinnytsya,0.52
2023,,,11_reg_Vinnytsya,0.423
2024,,,11_reg_Vinnytsya,0.551
2015,,,12_reg_Volyn,0.327
2016,,,12_reg_Volyn,0.326
2017,,,12_reg_Volyn,0.106
2018,,,12_reg_Volyn,0.428
2019,,,12_reg_Volyn,0.472
2020,,,12_reg_Volyn,0.423
2021,,,12_reg_Volyn,0.485
2022,,,12_reg_Volyn,
2023,,,12_reg_Volyn,0.046
2024,,,12_reg_Volyn,
2015,,,13_reg_Dnipropetrovsk,266.6
2016,,,13_reg_Dnipropetrovsk,243.8
2017,,,13_reg_Dnipropetrovsk,230.3
2018,,,13_reg_Dnipropetrovsk,233.9
2019,,,13_reg_Dnipropetrovsk,200.0
2020,,,13_reg_Dnipropetrovsk,127.731
2021,,,13_reg_Dnipropetrovsk,120.326
2022,,,13_reg_Dnipropetrovsk,110.678
2023,,,13_reg_Dnipropetrovsk,106.636
2024,,,13_reg_Dnipropetrovsk,106.493
2015,,,14_reg_Donetsk,263.7
2016,,,14_reg_Donetsk,180.2
2017,,,14_reg_Donetsk,199.4
2018,,,14_reg_Donetsk,185.6
2019,,,14_reg_Donetsk,45.33
2020,,,14_reg_Donetsk,76.398
2021,,,14_reg_Donetsk,90.022
2022,,,14_reg_Donetsk,36.886
2023,,,14_reg_Donetsk,33.315
2024,,,14_reg_Donetsk,9.433
2015,,,15_reg_Zhytomyr,2.565
2016,,,15_reg_Zhytomyr,2.384
2017,,,15_reg_Zhytomyr,1.994
2018,,,15_reg_Zhytomyr,2.066
2019,,,15_reg_Zhytomyr,1.894
2020,,,15_reg_Zhytomyr,1.903
2021,,,15_reg_Zhytomyr,2.109
