Year,Type of energy resources,Value
2015,anthracite_coal,81.9
2016,anthracite_coal,60.7
2017,anthracite_coal,78.8
2018,anthracite_coal,93.7
2019,anthracite_coal,98.3
2020,anthracite_coal,94.8
2021,anthracite_coal,100.0
2022,anthracite_coal,88.0
2023,anthracite_coal,86.0
2024,anthracite_coal,88.8
2015,motor_gasolines,51.6
2016,motor_gasolines,79.3
2017,motor_gasolines,77.6
2018,motor_gasolines,76.3
2019,motor_gasolines,66.6
2020,motor_gasolines,76.2
2021,motor_gasolines,77.6
2022,motor_gasolines,21.6
2023,motor_gasolines,30.2
2024,motor_gasolines,35.0
2015,diesel_fuels,44.9
2016,diesel_fuels,54.9
2017,diesel_fuels,43.1
2018,diesel_fuels,45.6
2019,diesel_fuels,42.9
2020,diesel_fuels,41.4
2021,diesel_fuels,42.3
2022,diesel_fuels,13.6
2023,diesel_fuels,16.8
2024,diesel_fuels,24.7
2015,liquefied_petroleum_gases,57.3
2016,liquefied_petroleum_gases,74.2
2017,liquefied_petroleum_gases,48.7
2018,liquefied_petroleum_gases,38.7
2019,liquefied_petroleum_gases,46.0
2020,liquefied_petroleum_gases,48.4
2021,liquefied_petroleum_gases,41.9
2022,liquefied_petroleum_gases,32.5
2023,liquefied_petroleum_gases,22.9
2024,liquefied_petroleum_gases,21.7
2015,natural_gas,37.3
2016,natural_gas,29.5
2017,natural_gas,40.5
2018,natural_gas,37.3
2019,natural_gas,44.5
2020,natural_gas,35.5
2021,natural_gas,63.3
2022,natural_gas,43.5
2023,natural_gas,31.3
2024,natural_gas,60.4
2015,non_irradiated_fuel_elements,91.6
2016,non_irradiated_fuel_elements,60.9
2017,non_irradiated_fuel_elements,58.6
2018,non_irradiated_fuel_elements,61.3
2019,non_irradiated_fuel_elements,55.4
2020,non_irradiated_fuel_elements,53.8
2021,non_irradiated_fuel_elements,69.7
2022,non_irradiated_fuel_elements,70.3
2023,non_irradiated_fuel_elements,100.0
2024,non_irradiated_fuel_elements,100.0
