Year,Type of residence,Households,Region,Value
2015,,,,10.2
2016,,,,14.7
2017,,,,15.4
2018,,,,13.9
2019,,,,13.0
2020,,,,12.9
2021,,,,13.8
2022,,,,
2023,,,,
2024,,,,
2015,urban,,,11.4
2016,urban,,,15.7
2017,urban,,,16.6
2018,urban,,,15.0
2019,urban,,,14.4
2020,urban,,,14.6
2021,urban,,,15.4
2022,urban,,,
2023,urban,,,
2024,urban,,,
2015,rural,,,7.4
2016,rural,,,12.5
2017,rural,,,12.8
2018,rural,,,11.4
2019,rural,,,9.7
2020,rural,,,9.0
2021,rural,,,10.1
2022,rural,,,
2023,rural,,,
2024,rural,,,
2015,,hh_ch,,9.5
2016,,hh_ch,,13.8
2017,,hh_ch,,14.6
2018,,hh_ch,,12.8
2019,,hh_ch,,12.0
2020,,hh_ch,,12.4
2021,,hh_ch,,12.7
2022,,hh_ch,,
2023,,hh_ch,,
2024,,hh_ch,,
2015,,hh_ch_0,,10.8
2016,,hh_ch_0,,15.4
2017,,hh_ch_0,,16.2
2018,,hh_ch_0,,14.9
2019,,hh_ch_0,,13.8
2020,,hh_ch_0,,13.3
2021,,hh_ch_0,,14.8
2022,,hh_ch_0,,
2023,,hh_ch_0,,
2024,,hh_ch_0,,
2015,,,11_reg_Vinnytsya,8.5
2016,,,11_reg_Vinnytsya,13.9
2017,,,11_reg_Vinnytsya,13.5
2018,,,11_reg_Vinnytsya,12.4
2019,,,11_reg_Vinnytsya,11.4
2020,,,11_reg_Vinnytsya,11.3
2021,,,11_reg_Vinnytsya,12.3
2022,,,11_reg_Vinnytsya,
2023,,,11_reg_Vinnytsya,
2024,,,11_reg_Vinnytsya,
2015,,,12_reg_Volyn,8.7
2016,,,12_reg_Volyn,14.6
2017,,,12_reg_Volyn,13.7
2018,,,12_reg_Volyn,12.5
2019,,,12_reg_Volyn,9.3
2020,,,12_reg_Volyn,9.2
2021,,,12_reg_Volyn,10.5
2022,,,12_reg_Volyn,
2023,,,12_reg_Volyn,
2024,,,12_reg_Volyn,
2015,,,13_reg_Dnipropetrovsk,11.2
2016,,,13_reg_Dnipropetrovsk,14.2
2017,,,13_reg_Dnipropetrovsk,15.5
2018,,,13_reg_Dnipropetrovsk,13.1
2019,,,13_reg_Dnipropetrovsk,13.0
2020,,,13_reg_Dnipropetrovsk,12.0
2021,,,13_reg_Dnipropetrovsk,13.2
2022,,,13_reg_Dnipropetrovsk,
2023,,,13_reg_Dnipropetrovsk,
2024,,,13_reg_Dnipropetrovsk,
2015,,,14_reg_Donetsk,10.5
2016,,,14_reg_Donetsk,15.5
2017,,,14_reg_Donetsk,15.6
2018,,,14_reg_Donetsk,15.6
2019,,,14_reg_Donetsk,13.2
2020,,,14_reg_Donetsk,13.0
2021,,,14_reg_Donetsk,16.5
2022,,,14_reg_Donetsk,
2023,,,14_reg_Donetsk,
2024,,,14_reg_Donetsk,
2015,,,19_reg_Kyiv,12.8
2016,,,19_reg_Kyiv,17.8
2017,,,19_reg_Kyiv,19.0
2018,,,19_reg_Kyiv,17.4
2019,,,19_reg_Kyiv,16.0
2020,,,19_reg_Kyiv,16.3
2021,,,19_reg_Kyiv,15.8
2022,,,19_reg_Kyiv,
2023,,,19_reg_Kyiv,
2024,,,19_reg_Kyiv,
2015,,,35_reg_Kyiv_city,12.4
2016,,,35_reg_Kyiv_city,16.2
2017,,,35_reg_Kyiv_city,18.0
2018,,,35_reg_Kyiv_city,16.1
2019,,,35_reg_Kyiv_city,15.7
2020,,,35_reg_Kyiv_city,18.0
2021,,,35_reg_Kyiv_city,17.3
2022,,,35_reg_Kyiv_city,
2023,,,35_reg_Kyiv_city,
2024,,,35_reg_Kyiv_city,
