Year,Sex,Type of residence,Region,Value
2015,,,,23.5
2016,,,,24.7
2017,,,,26.1
2018,,,,21.1
2019,,,,12.6
2020,,,,20.6
2021,,,,24.4
2022,,,,
2023,,,,
2024,,,,
2015,females,,,22.8
2016,females,,,28.1
2017,females,,,24.3
2018,females,,,19.8
2019,females,,,12.7
2020,females,,,21.0
2021,females,,,24.4
2022,females,,,
2023,females,,,
2024,females,,,
2015,males,,,23.9
2016,males,,,22.5
2017,males,,,27.3
2018,males,,,22.0
2019,males,,,12.6
2020,males,,,20.3
2021,males,,,24.5
2022,males,,,
2023,males,,,
2024,males,,,
2015,,urban,,27.0
2016,,urban,,28.7
2017,,urban,,30.2
2018,,urban,,24.7
2019,,urban,,14.6
2020,,urban,,23.5
2021,,urban,,29.0
2022,,urban,,
2023,,urban,,
2024,,urban,,
2015,,rural,,16.1
2016,,rural,,16.5
2017,,rural,,17.7
2018,,rural,,13.6
2019,,rural,,8.7
2020,,rural,,15.0
2021,,rural,,15.5
2022,,rural,,
2023,,rural,,
2024,,rural,,
2015,,,11_reg_Vinnytsya,35.0
2016,,,11_reg_Vinnytsya,28.6
2017,,,11_reg_Vinnytsya,24.3
2018,,,11_reg_Vinnytsya,35.5
2019,,,11_reg_Vinnytsya,15.4
2020,,,11_reg_Vinnytsya,27.7
2021,,,11_reg_Vinnytsya,26.6
2022,,,11_reg_Vinnytsya,
2023,,,11_reg_Vinnytsya,
2024,,,11_reg_Vinnytsya,
2015,,,12_reg_Volyn,18.3
2016,,,12_reg_Volyn,19.1
2017,,,12_reg_Volyn,46.3
2018,,,12_reg_Volyn,18.6
2019,,,12_reg_Volyn,12.4
2020,,,12_reg_Volyn,15.8
2021,,,12_reg_Volyn,6.1
2022,,,12_reg_Volyn,
2023,,,12_reg_Volyn,
2024,,,12_reg_Volyn,
2015,,,13_reg_Dnipropetrovsk,43.3
2016,,,13_reg_Dnipropetrovsk,27.9
2017,,,13_reg_Dnipropetrovsk,35.1
2018,,,13_reg_Dnipropetrovsk,34.8
2019,,,13_reg_Dnipropetrovsk,15.0
2020,,,13_reg_Dnipropetrovsk,20.4
2021,,,13_reg_Dnipropetrovsk,22.7
2022,,,13_reg_Dnipropetrovsk,
2023,,,13_reg_Dnipropetrovsk,
2024,,,13_reg_Dnipropetrovsk,
2015,,,14_reg_Donetsk,20.3
2016,,,14_reg_Donetsk,34.0
2017,,,14_reg_Donetsk,36.5
2018,,,14_reg_Donetsk,26.1
2019,,,14_reg_Donetsk,16.9
2020,,,14_reg_Donetsk,20.9
2021,,,14_reg_Donetsk,27.4
2022,,,14_reg_Donetsk,
2023,,,14_reg_Donetsk,
2024,,,14_reg_Donetsk,
2015,,,19_reg_Kyiv,30.6
2016,,,19_reg_Kyiv,40.6
2017,,,19_reg_Kyiv,40.1
2018,,,19_reg_Kyiv,26.2
2019,,,19_reg_Kyiv,16.5
2020,,,19_reg_Kyiv,18.2
2021,,,19_reg_Kyiv,44.0
2022,,,19_reg_Kyiv,
2023,,,19_reg_Kyiv,
2024,,,19_reg_Kyiv,
2015,,,35_reg_Kyiv_city,62.6
2016,,,35_reg_Kyiv_city,56.8
2017,,,35_reg_Kyiv_city,61.6
2018,,,35_reg_Kyiv_city,48.7
2019,,,35_reg_Kyiv_city,24.6
2020,,,35_reg_Kyiv_city,41.0
2021,,,35_reg_Kyiv_city,52.2
2022,,,35_reg_Kyiv_city,
2023,,,35_reg_Kyiv_city,
2024,,,35_reg_Kyiv_city,
