Year,Gender,group_16,Value
2015,,,17.2
2016,,,17.8
2017,,,15.9
2018,,,14.5
2019,,,15.6
2020,,,15.5
2021,,,14.3
2022,,,
2023,,,
2024,,,
2015,2_females,,28.1
2016,2_females,,29.3
2017,2_females,,29.0
2018,2_females,,26.8
2019,2_females,,28.8
2020,2_females,,29.1
2021,2_females,,29.6
2022,2_females,,
2023,2_females,,
2024,2_females,,
2015,males,,16.9
2016,males,,17.4
2017,males,,16.3
2018,males,,15.2
2019,males,,13.7
2020,males,,14.8
2021,males,,14.4
2022,males,,
2023,males,,
2024,males,,
2015,,urban,20.1
2016,,urban,20.9
2017,,urban,20.0
2018,,urban,18.7
2019,,urban,18.7
2020,,urban,18.9
2021,,urban,19.3
2022,,urban,
2023,,urban,
2024,,urban,
2015,,rural,27.3
2016,,rural,28.0
2017,,rural,27.5
2018,,rural,25.2
2019,,rural,25.6
2020,,rural,27.2
2021,,rural,26.6
2022,,rural,
2023,,rural,
2024,,rural,
2015,,group_label_280,22.4
2016,,group_label_280,23.2
2017,,group_label_280,22.5
2018,,group_label_280,20.9
2019,,group_label_280,21.0
2020,,group_label_280,21.8
2021,,group_label_280,21.8
2022,,group_label_280,
2023,,group_label_280,
2024,,group_label_280,
