Value,Disaggregation combinations using this value,Number of indicators
banking,1,1
conducting training activities for educational professional or private purposes through an online course except for full online courses,1,1
conducting training activities for educational professional or private purposes through an online course,1,1
conducting training activities for educational professional or private purposes through communication via the Internet with teachers or students using educational sites or portals,1,1
downloading films images music watching television or videos or listening to the radio or music playing video or computer games or downloading them,1,1
downloading software,1,1
for interaction with government bodies including obtaining information,1,1
looking for work or sending a job application,1,1
making an appointment with a specialist doctor through the Internet,1,1
ordering goods and services,1,1
participating in online consultations voting on civil or political issues,1,1
participating in social networks communicating,1,1
posting opinions on civil or political issues on websites,1,1
reading/downloading newspapers magazines online,1,1
searching for information about goods and services not previously mentioned,1,1
searching for information related to health issues for yourself and others,1,1
selling goods and services over the Internet,1,1
sending e-mail,1,1
telephone conversations through the Internet/Volp,1,1
using Internet storage for personal purposes to store documents images music videos or other files,1,1
using services related to travel or hotel accommodation while traveling,1,1
