Value,Disaggregation combinations using this value,Number of indicators
11_1_agricul,1,1
11_agricul,4,4
11_ext_quar,1,1
12_ext_coal,1,1
12_indu,3,3
13_constr,3,3
13_ext_oil,1,1
14_ext_ores,1,1
14_motor_veh,5,5
15_courier,3,3
15_ext_miner,1,1
16_cater,5,5
16_serv,1,1
17_proc_ind,1,1
17_telecom,5,5
18_insurance,5,5
18_man_food,1,1
19_estate,5,5
19_man_bev,1,1
1_agr_and_rel,2,2
20_man_tobac,1,1
20_scientific,5,5
21_man_text,1,1
21_support,5,5
22_man_cloth,1,1
22_public,1,1
23_educ,5,5
23_man_leather,1,1
24_health,3,3
24_man_wood,1,1
25_arts,5,5
25_man_paper,1,1
26_1_other_serv,1,1
26_other_serv,4,4
26_print,1,1
27_man_coke,1,1
28_man_chemic,1,1
29_man_pharmac,1,1
2_indus,4,4
30_man_rubber,1,1
31_man_non_met,1,1
32_man_met,1,1
33_man_equip,1,1
34_man_pc,1,1
35_man_el_equip,1,1
36_not_class,1,1
37_man_motor,1,1
38_man_oth_veh,1,1
39_man_furn,1,1
3_mining,4,2
40_man_oth_prod,1,1
41_repair,1,1
42_suppl_elec,1,1
43_suppl_wat,1,1
44_collec_wat,1,1
45_waste_wat,1,1
46_restor,1,1
47_waste_act,1,1
4_proc_ind,28,2
5_el_gas,2,2
6_water,2,2
7_constr,5,5
8_trans_act,2,2
9_telec,2,2
group_label_269,2,2
group_label_270,1,1
group_label_271,2,2
group_label_283,1,1
group_label_284,1,1
group_label_285,1,1
group_label_286,1,1
group_label_287,1,1
group_label_288,1,1
group_label_289,1,1
group_label_290,1,1
group_label_291,1,1
group_label_292,1,1
group_label_293,1,1
group_label_294,1,1
group_label_295,1,1
group_label_296,1,1
group_label_297,1,1
s_11_indu,2,2
s_12_agri,2,2
s_13_fores,2,2
s_14_transp,3,3
s_15_commun,2,2
s_16_constr,2,2
s_17_trade,2,2
s_18_logis,2,2
s_19_resid,2,2
s_20_care,2,2
s_21_pub_ed,2,2
s_22_oth_sec,2,2
