Value,Disaggregation combinations using this value,Number of indicators
group_label_113,1,1
group_label_116,1,1
group_label_117,1,1
group_label_121,1,1
group_label_122,1,1
group_label_124,1,1
group_label_135,1,1
group_label_138,1,1
group_label_139,1,1
group_label_140,1,1
group_label_141,1,1
group_label_142,1,1
group_label_143,1,1
group_label_144,1,1
group_label_145,1,1
group_label_146,1,1
group_label_147,1,1
group_label_148,1,1
group_label_149,1,1
group_label_150,1,1
group_label_151,1,1
group_label_152,1,1
group_label_153,1,1
group_label_154,1,1
group_label_155,1,1
group_label_156,1,1
