Value,Disaggregation combinations using this value,Number of indicators
11_reg_Vinnytsya,117,77
12_reg_Volyn,117,77
13_reg_Dnipropetrovsk,253,78
14_reg_Donetsk,252,78
15_reg_Zhytomyr,108,68
16_reg_Zakarpattya,108,68
17_reg_Zaporizhzhya,245,70
18_reg_Ivano-Frankivsk,105,68
18_reg_Ivano_Frankivsk,3,1
19_reg_Kyiv,102,77
19_reg_Kyivska,1,1
20_reg_Kirovohrad,108,68
21_reg_Luhansk,243,68
22_reg_Lviv,108,68
23_reg_Mykolaiv,3,1
23_reg_Mykolayiv,106,69
24_reg_Odesa,109,69
25_reg_Poltava,108,68
26_reg_Rivne,108,68
27_reg_Sumy,108,68
28_reg_Ternopil,108,68
29_reg_Kharkiv,244,69
30_reg_Kherson,109,69
31_reg_Khmelnytskiy,105,68
31_reg_Khmelnytskyi,2,1
31_reg_Khmelnytskyy,1,1
32_reg_Cherkasy,108,68
33_reg_Chernivtsi,108,68
34_reg_Chernihiv,108,68
35_reg_Kyiv,1,1
35_reg_Kyiv_city,96,71
Autonomous Republic of Crimea,1,1
autonomous_Republic_of_Crimea,50,40
Center,1,1
City of Sevastopol,1,1
city_Sevastopol,50,40
East,1,1
South,1,1
Ukraine,56,36
West,1,1
