Value,Disaggregation combinations using this value,Number of indicators
spec_101,1,1
spec_102,1,1
spec_103,1,1
spec_104,1,1
spec_105,1,1
spec_106,1,1
spec_111,1,1
spec_112,1,1
spec_113,1,1
spec_121,1,1
spec_122,1,1
spec_123,1,1
spec_124,1,1
spec_125,1,1
spec_126,1,1
spec_131,1,1
spec_132,1,1
spec_133,1,1
spec_134,1,1
spec_135,1,1
spec_136,1,1
spec_141,1,1
spec_142,1,1
spec_143,1,1
spec_144,1,1
spec_151,1,1
spec_152,1,1
spec_153,1,1
spec_161,1,1
spec_162,1,1
spec_163,1,1
spec_171,1,1
spec_172,1,1
spec_173,1,1
spec_174,1,1
spec_181,1,1
spec_182,1,1
spec_183,1,1
spec_184,1,1
spec_185,1,1
spec_186,1,1
spec_191,1,1
spec_192,1,1
spec_193,1,1
spec_201,1,1
spec_202,1,1
spec_203,1,1
spec_204,1,1
spec_205,1,1
spec_206,1,1
spec_207,1,1
spec_208,1,1
spec_261,1,1
spec_262,1,1
spec_263,1,1
spec_271,1,1
spec_272,1,1
spec_273,1,1
spec_274,1,1
spec_275,1,1
spec_276,1,1
