Value,Disaggregation combinations using this value,Number of indicators
A01,2,2
A02,2,2
A03,2,2
A04,1,1
A05,2,2
A06,2,2
A07,2,2
A08,2,2
A08_1,1,1
A08_2,1,1
A09,2,2
A10,2,2
A100,2,2
A101,2,2
A102,2,2
A103,2,2
A104,2,2
A105,2,2
A106,2,2
A107,2,2
A108,1,1
A109,2,2
A10_1,1,1
A11,1,1
A110,2,2
A111,2,2
A112,2,2
A113,2,2
A114,2,2
A115,2,2
A116,2,2
A117,2,2
A118,2,2
A119,2,2
A12,2,2
A120,2,2
A121,2,2
A122,2,2
A123,2,2
A124,2,2
A125,2,2
A126,2,2
A127,2,2
A128,2,2
A129,2,2
A13,2,2
A130,2,2
A131,2,2
A132,2,2
A133,2,2
A134,2,2
A135,2,2
A136,2,2
A137,2,2
A138,2,2
A139,2,2
A14,2,2
A140,2,2
A141,2,2
A142,2,2
A143,2,2
A144,2,2
A145,2,2
A146,2,2
A147,2,2
A148,2,2
A149,2,2
A15,2,2
A150,2,2
A151,2,2
A152,2,2
A153,2,2
A154,2,2
A155,2,2
A156,2,2
A157,2,2
A158,2,2
A159,2,2
A16,2,2
A160,2,2
A161,1,1
A162,2,2
A163,2,2
A164,2,2
A165,2,2
A166,2,2
A167,2,2
A168,2,2
A169,2,2
A17,2,2
A170,2,2
A171,2,2
A172,2,2
A173,2,2
A174,2,2
A175,2,2
A176,2,2
A177,2,2
A178,2,2
A179,2,2
A18,1,1
A180,2,2
A181,1,1
A182,2,2
A183,1,1
A184,2,2
A185,2,2
A186,2,2
A187,2,2
A188,2,2
A189,2,2
A19,2,2
A190,2,2
A191,2,2
A192,2,2
A193,2,2
A194,1,1
A195,2,2
A196,2,2
A197,2,2
A198,2,2
A199,2,2
A20,2,2
A200,2,2
A201,2,2
A202,2,2
A203,2,2
A204,2,2
A205,2,2
A206,2,2
A207,2,2
A208,2,2
A209,2,2
A21,2,2
A210,2,2
A211,2,2
A212,2,2
A213,2,2
A214,2,2
A215,1,1
A216,2,2
A217,2,2
A218,2,2
A219,2,2
A22,2,2
A220,2,2
A221,2,2
A222,2,2
A223,2,2
A224,2,2
A225,2,2
A226,2,2
A227,2,2
A228,2,2
A229,2,2
A23,2,2
A230,2,2
A231,2,2
A232,2,2
A233,1,1
A234,2,2
A235,2,2
A236,2,2
A237,2,2
A238,2,2
A239,2,2
A24,2,2
A240,2,2
A241,2,2
A242,2,2
A243,2,2
A244,2,2
A245,2,2
A246,2,2
A247,2,2
A248,2,2
A249,2,2
A25,2,2
A250,2,2
A251,2,2
A252,2,2
A253,2,2
A254,2,2
A255,2,2
A256,2,2
A257,2,2
A258,2,2
A259,2,2
A26,2,2
A260,2,2
A261,2,2
A262,2,2
A263,2,2
A264,2,2
A265,2,2
A266,2,2
A267,2,2
A268,2,2
A269,2,2
A27,2,2
A270,2,2
A271,2,2
A272,2,2
A273,2,2
A274,2,2
A275,2,2
A276,2,2
A277,2,2
A278,2,2
A279,2,2
A28,2,2
A280,2,2
A281,2,2
A282,2,2
A283,2,2
A284,2,2
A285,1,1
A286,2,2
A287,1,1
A288,2,2
A289,2,2
A29,2,2
A290,2,2
A291,2,2
A292,2,2
A293,2,2
A294,2,2
A295,2,2
A296,2,2
A297,2,2
A298,2,2
A299,2,2
A30,2,2
A300,2,2
A301,2,2
A302,1,1
A303,2,2
A304,2,2
A305,2,2
A306,2,2
A307,2,2
A308,2,2
A309,2,2
A31,2,2
A310,2,2
A311,2,2
A312,2,2
A313,2,2
A314,2,2
A315,2,2
A316,2,2
A317,2,2
A318,2,2
A319,2,2
A32,2,2
A320,2,2
A321,2,2
A322,2,2
A323,2,2
A324,2,2
A325,2,2
A326,2,2
A327,2,2
A328,2,2
A329,2,2
A33,2,2
A330,2,2
A331,2,2
A332,2,2
A333,2,2
A334,2,2
A335,2,2
A336,2,2
A337,2,2
A338,2,2
A339,2,2
A34,2,2
A340,2,2
A341,2,2
A342,2,2
A343,2,2
A344,2,2
A345,2,2
A346,2,2
A347,2,2
A348,2,2
A349,2,2
A35,2,2
A350,2,2
A351,2,2
A352,2,2
A353,2,2
A354,2,2
A355,2,2
A356,2,2
A357,2,2
A358,2,2
A359,2,2
A36,2,2
A360,2,2
A361,2,2
A362,2,2
A363,2,2
A364,2,2
A365,2,2
A366,2,2
A367,2,2
A368,2,2
A369,2,2
A37,1,1
A370,2,2
A371,2,2
A372,2,2
A373,2,2
A374,2,2
A375,2,2
A376,2,2
A377,2,2
A378,2,2
A379,2,2
A38,2,2
A380,2,2
A381,2,2
A382,2,2
A383,2,2
A384,2,2
A385,2,2
A386,2,2
A387,2,2
A388,2,2
A389,2,2
A39,1,1
A390,2,2
A391,2,2
A392,2,2
A393,2,2
A394,2,2
A395,2,2
A396,2,2
A397,2,2
A398,2,2
A399,2,2
A40,1,1
A400,2,2
A401,2,2
A402,2,2
A403,2,2
A404,2,2
A405,2,2
A406,2,2
A407,2,2
A408,2,2
A409,2,2
A41,1,1
A410,2,2
A411,2,2
A412,2,2
A413,2,2
A414,2,2
A415,2,2
A416,2,2
A417,2,2
A418,1,1
A419,2,2
A42,1,1
A420,2,2
A421,2,2
A422,2,2
A423,2,2
A424,2,2
A424_1,1,1
A425,2,2
A426,2,2
A427,2,2
A428,2,2
A429,2,2
A43,1,1
A430,2,2
A431,2,2
A432,2,2
A433,2,2
A434,2,2
A435,2,2
A436,2,2
A437,2,2
A438,2,2
A439,2,2
A44,2,2
A440,2,2
A441,2,2
A442,2,2
A443,2,2
A444,2,2
A445,2,2
A446,2,2
A447,2,2
A448,2,2
A449,2,2
A45,2,2
A450,2,2
A451,2,2
A452,2,2
A453,2,2
A454,2,2
A455,2,2
A456,2,2
A457,2,2
A458,2,2
A459,2,2
A46,1,1
A460,2,2
A461,2,2
A462,2,2
A463,2,2
A464,2,2
A465,2,2
A466,2,2
A467,2,2
A468,2,2
A469,2,2
A47,1,1
A470,2,2
A471,2,2
A472,2,2
A473,2,2
A474,2,2
A475,2,2
A476,2,2
A477,2,2
A478,2,2
A479,2,2
A48,1,1
A480,2,2
A481,2,2
A482,2,2
A483,2,2
A484,2,2
A485,2,2
A486,2,2
A487,2,2
A488,2,2
A489,2,2
A49,2,2
A490,2,2
A491,2,2
A492,2,2
A493,2,2
A494,2,2
A495,2,2
A496,2,2
A497,2,2
A498,2,2
A499,2,2
A50,1,1
A500,2,2
A501,2,2
A502,2,2
A503,2,2
A504,2,2
A505,2,2
A506,2,2
A507,2,2
A508,2,2
A509,2,2
A51,2,2
A510,2,2
A511,2,2
A512,2,2
A513,2,2
A514,2,2
A515,2,2
A516,2,2
A517,2,2
A518,2,2
A519,2,2
A52,2,2
A520,2,2
A521,2,2
A522,2,2
A523,2,2
A524,2,2
A525,2,2
A526,2,2
A527,2,2
A528,2,2
A529,2,2
A53,2,2
A530,2,2
A531,2,2
A532,2,2
A533,2,2
A534,2,2
A535,2,2
A536,2,2
A537,2,2
A538,2,2
A539,2,2
A54,2,2
A540,2,2
A541,2,2
A542,2,2
A543,2,2
A544,2,2
A545,2,2
A546,2,2
A547,2,2
A548,2,2
A549,2,2
A55,2,2
A550,2,2
A551,2,2
A552,2,2
A553,2,2
A554,2,2
A555,2,2
A556,2,2
A557,2,2
A558,2,2
A559,2,2
A56,2,2
A560,2,2
A561,2,2
A562,2,2
A563,2,2
A564,2,2
A565,2,2
A566,2,2
A567,2,2
A568,2,2
A569,2,2
A57,2,2
A570,2,2
A571,2,2
A572,2,2
A573,2,2
A574,2,2
A575,2,2
A576,2,2
A577,2,2
A578,2,2
A579,2,2
A58,2,2
A580,2,2
A581,2,2
A582,2,2
A583,2,2
A584,2,2
A585,2,2
A586,2,2
A587,2,2
A588,2,2
A589,2,2
A59,2,2
A590,2,2
A591,2,2
A592,2,2
A593,2,2
A594,2,2
